id_inquilino,horario,bioritmo,nivel_educativo,leer,animacion,cine,mascotas,cocinar,deporte,dieta,fumador,visitas,orden,musica_tipo,musica_alta,plan_perfecto,instrumento
1,2,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1
2,2,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1
3,2,0,2,0,0,1,1,1,0,0,1,0,0,0,0,0,0
4,2,1,2,0,1,0,1,1,1,0,0,1,1,2,1,0,1
5,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6,2,0,1,0,1,0,1,0,1,1,1,1,1,3,1,1,1
7,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
8,0,0,2,1,1,0,0,0,1,0,0,1,0,2,0,0,0
9,0,1,2,0,1,0,1,0,1,1,1,0,1,3,1,0,1
10,2,0,2,0,1,0,1,1,1,1,1,1,0,0,1,1,1
11,0,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0
12,0,1,2,0,1,0,1,1,1,1,1,1,1,3,1,1,1
13,2,0,2,0,1,0,1,1,0,1,1,1,1,3,1,1,1
14,0,0,0,1,0,1,1,0,1,0,1,0,1,2,0,0,0
15,2,1,0,0,1,0,1,1,1,1,1,1,1,3,1,1,1
16,2,0,2,1,0,1,0,0,0,0,0,0,0,2,0,0,0
17,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
18,2,1,2,1,1,0,1,1,1,1,1,1,1,2,1,0,1
19,0,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0
20,2,1,2,0,1,0,1,1,1,1,1,1,1,3,1,0,1
21,0,0,0,1,0,0,0,0,1,0,1,1,0,2,0,0,0
22,0,0,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0
23,2,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
24,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0
25,2,1,2,0,1,0,1,1,1,1,1,1,1,3,0,1,1
26,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
27,2,1,2,0,1,1,1,1,0,1,1,0,0,3,1,1,1
28,2,0,1,0,0,1,1,1,1,1,0,1,1,3,1,1,1
29,2,1,2,0,1,0,1,1,0,1,1,0,1,3,1,0,1
30,2,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
31,0,0,0,0,0,1,1,0,0,1,1,0,0,3,0,0,0
32,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0
33,2,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1
34,2,1,2,0,1,0,1,1,0,1,0,1,0,3,1,1,1
35,2,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1
36,0,0,2,0,0,1,0,0,1,0,0,1,1,0,1,0,0
37,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1
38,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
39,2,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1
40,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
41,2,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0
42,2,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1
43,2,1,2,0,0,0,0,1,1,1,1,1,1,3,1,1,1
44,0,1,2,0,1,0,0,1,0,1,1,1,1,3,1,1,1
45,0,0,2,1,0,1,0,0,0,1,0,0,0,3,0,0,0
46,2,0,2,0,1,0,1,1,1,1,1,1,0,3,0,0,1
47,0,1,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0
48,2,1,0,0,1,0,1,1,1,1,1,1,1,2,1,0,1
49,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2,1,2,0,1,0,1,1,0,1,1,1,0,3,1,1,1
51,0,0,0,1,0,1,1,0,0,1,1,1,0,2,0,0,0
52,0,0,0,1,0,1,1,0,0,1,0,0,0,2,1,0,0
53,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0
54,2,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1
55,2,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1
56,2,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1
57,2,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1
58,2,1,2,0,1,0,0,0,1,1,1,1,1,1,1,1,1
59,2,1,2,0,1,0,1,1,1,1,1,1,0,0,1,1,1
60,0,1,0,1,0,1,0,0,1,1,0,0,0,2,0,0,0
61,2,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1
62,0,0,2,0,0,1,1,1,1,1,0,0,1,0,0,0,0
63,2,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0
64,0,0,2,0,0,1,0,1,1,0,1,0,0,0,0,1,0
65,2,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1
66,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0
67,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
68,2,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,1
69,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
70,0,1,2,0,0,1,0,1,0,0,0,0,0,2,1,0,1
71,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
72,2,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1
73,2,1,2,0,1,0,1,1,1,1,1,1,1,3,1,1,1
74,2,0,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0
75,2,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
76,0,0,1,1,0,1,1,0,0,0,1,0,0,2,0,0,0
77,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
78,2,0,2,0,1,1,1,0,0,1,1,1,0,3,1,1,1
79,0,0,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0
80,2,0,2,0,1,0,1,0,1,1,1,1,1,3,0,0,1
81,2,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1
82,2,1,1,0,0,0,1,1,1,1,1,1,1,2,1,1,1
83,0,0,2,1,0,1,0,0,0,1,0,0,1,3,1,0,1
84,2,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1
85,2,1,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1
86,0,0,2,1,0,1,0,0,1,1,0,0,1,0,0,0,0
87,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0
88,2,1,2,0,1,1,1,1,0,1,1,1,0,3,1,1,1
89,2,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1
90,2,0,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0
91,2,1,2,0,0,0,1,1,1,0,1,0,0,2,1,1,1
92,2,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1
93,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0
94,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
95,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0
96,0,0,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0
97,0,0,2,1,1,1,1,1,0,1,1,1,1,0,1,1,1
98,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0
99,2,1,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0
100,2,1,0,1,0,1,0,1,1,0,0,0,1,2,1,1,0
101,2,0,2,0,1,0,1,1,1,1,1,1,1,3,0,1,1
102,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
103,0,0,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0
104,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
105,0,0,2,0,1,0,0,1,1,1,1,1,1,0,1,0,1
106,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0
107,2,1,2,0,1,0,1,1,1,1,1,1,1,3,1,1,1
108,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0
109,2,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
110,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
111,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1
112,2,1,1,0,1,1,1,1,1,1,1,1,1,3,0,1,1
113,2,1,2,0,1,0,1,1,1,0,1,0,1,2,1,0,1
114,0,1,2,0,1,0,1,1,0,1,1,1,0,3,1,0,1
115,2,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1
116,0,0,2,1,1,1,0,0,0,1,0,0,1,0,0,1,0
117,2,1,2,0,1,0,1,1,1,1,1,0,1,1,1,1,1
118,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
119,2,1,2,1,1,1,1,1,0,1,1,1,1,3,1,1,0
120,2,0,2,0,0,0,1,1,0,1,1,1,1,0,1,1,1
121,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0
122,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0
123,2,0,1,0,1,0,1,0,1,1,1,1,0,3,1,1,1
124,0,0,0,1,1,1,0,0,0,1,0,0,0,2,0,0,0
125,2,0,2,0,1,0,1,1,1,1,1,1,0,3,1,1,1
126,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0
127,0,0,0,1,0,1,0,0,0,0,1,0,1,2,0,0,0
128,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0
